Sr no,Date,Startup name,Industry Vertical,Sub Vertical,City Location,Investment Name,Investment Type,Amount in USD,Remarks
216,25/7/2018,Black Soil,Finance,Non-Banking Financial Company,Mumbai,"Allcargo Logistics, N",Private Equity,"1,70,00,000",nan
217,25/7/2018,Trell,Consumer Internet,Mobile-First Video Blogging App,Bengaluru,"BeeNext , WEH Ven",Seed/ Angel Fun,"12,50,000",nan
218,25/7/2018,iqlect,Technology,Data Analytics Firm,Bengaluru,Ventureast and Exfi,Seed/ Angel Fun,"25,00,000",nan
219,26/7/2018,Entropik,IT,Software-As-A-Service Platform,Bengaluru,"Bharat Innovation, I",Seed/ Angel Fun,"11,00,000",nan
220,26/7/2018,Bitla Software,Technology,Travel-Focused Tech Startup,Bengaluru,MakeMyTrip,Private Equity,N/A,nan
221,26/7/2018,TheCapitalNet,Fin-Tech,Unified Global Investments Ecosystem,Hyderabad,Lindwall Family Inve,Private Equity,"5,00,000",nan
222,30/7/2018,Shuttl,Consumer Internet,Bus Aggregation Platform,Gurugram,Amazon Alexa Fund,Private Equity,"1,10,00,000",nan
223,30/7/2018,Cure Fit,Consumer Internet,Health and fitness Platform,Bengaluru,"IDG Ventures, Acce",Private Equity,"12,00,00,000",nan
224,31/7/2018,Five Star Group,Fin-Tech,Non-Bank Lending Platform For SME,Chennai,"TPG, Norwest Vent",Private Equity,"10,00,00,000",nan
225,31/7/2018,Healthsignz,Healthcare,Health and Well being Platform,Hyderabad,Kantilal Patel,Seed/ Angel Fun,"50,00,000",nan
226,01/6/2018,CoinTribe,Finance,Credit-Based Lending Marketplace For,Gurugram,"Sabre Partners, Pu",Private Equity,"1,00,00,000",nan
227,04/6/2018,Digiconectt,Technology,Sales Analytics and Enablement Platfo,Bengaluru,Aspire Logistics LLC,Seed/ Angel Fun,"1,25,000",nan
228,04/6/2018,Kashmir Box,E-Commerce,"Online Marketplace For Handicrafts, H",Srinagar,"Bhairavi Jani, Alok",Seed/ Angel Fun,N/A,nan
229,05/6/2018,Crowdera,Finance,Online Crowdfunding Platform,Nagpur,"Anil Advani, Pramo",Seed/ Angel Fun,N/A,nan
230,05/6/2018,Zoctr,Healthcare,Online Healthcare Aggregator,Mumbai,NB Ventures and Ot,Seed/ Angel Fun,N/A,nan
231,07/6/2018,Annapurna Finance,Finance,Non-Banking Financial Company,Bhubneswar,Oman India Joint In,Private Equity,"2,30,00,000",nan
232,07/6/2018,Meesho,Consumer Internet,Online Marketplace For Resellers,Bengaluru,Sequoia Capital Ind,Private Equity,"1,15,00,000",nan
233,10/6/2018,AyeFinance,Finance,Online Lending Platform,Gurugram,"CapitalG, SAIF Part",Private Equity,"2,15,00,000",nan
234,11/6/2018,Theranosis,Healthcare,Specialised diagnostics Platform,Hyderabad,Mumbai Angels Net,Seed/ Angel Fun,N/A,nan
235,12/6/2018,Alpha Capital,Finance,Supplychain Finance,Mumbai,Alpha Capital,Private Equity,"1,48,00,000",nan
236,12/6/2018,eshakti,E-Commerce,Fashion e-tailer,Chennai,Paragon Partners,Private Equity,"1,01,00,000",nan
237,12/6/2018,Daily Ninja,Consumer Internet,Hyperlocal Delivery Platform,Bengaluru,Saama Capital and,Seed/ Angel Fun,"30,00,000",nan
238,13/6/2018,NirogStreet,Healthcare,An Online Platform That Connects Ayu,Gurugram,"Spiral Ventures, Su",Seed/ Angel Fun,"3,000,00",nan
239,13/6/2018,Nivesh,Finance,Mass Market Mutual Fund Investment,Noida,"LetsVenture, Rajan",Seed/ Angel Fun,"4,50,000",nan
240,13/6/2018,Whats Up Life,Consumer Internet,"A Local Discovery App For Dining-Out,",Gurugram,Rannvijay Singha,Seed/ Angel Fun,N/A,nan
241,14/6/2018,HomeLane,Consumer Internet,Online Home Furnishing Solutions,Bengaluru,Brand Capital,Seed/ Angel Fun,"34,50,000",nan
242,14/6/2018,Network Intelligence,Technology,Cybersecurity Specialist,Mumbai,Helix Investments,Private Equity,"48,00,000",nan
243,18/6/2018,Tynor Othontics,Healthcare,Prosthetics Manufacturers,Chandigarh,Lighthouse Funds &,Private Equity,"2,10,00,000",nan
244,18/6/2018,Elucidata,IT,Data Analytics (SaaS),Delhi,Hyperplane Venture,Seed/ Angel Fun,"17,00,000",nan
245,19/6/2018,Chrysalis,Ed-Tech,Education Services Provider,Pune,Menterra Venture &,Seed/ Angel Fun,N/A,nan
246,19/6/2018,RentSher,Consumer Internet,Online Rental Marketplace,Bengaluru,Shorooq Investmen,Seed/ Angel Fun,"11,00,000",nan
247,20/6/2018,Drip capital,Finance,Trade Finance Firm,Mumbai,"Accel Partners, Seq",Private Equity,"1,50,00,000",nan
248,22/6/2018,WickedRide,Consumer Internet,Online Motorbike And Scooter Rental,Bengaluru,"Sequoia Capital, Ac",Private Equity,"91,00,000",nan
249,25/6/2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,SoftBank Vision Fun,Private Equity,"20,00,00,000",nan
250,25/6/2018,HipBar,Consumer Internet,Digital Payment Platform For Beverage,Bengaluru,Diageo India,Private Equity,"40,00,000",nan
251,25/6/2018,Sqqrl,Finance,App-based investment platform,Gurugram,Equanimity Venture,Seed/ Angel Fun,"10,00,000",nan
252,26/6/2018,Paytm,Technology,Digital Payment Platform,Noida,One 97 Communica,Private Equity,"89,50,000",nan
253,26/6/2018,Sigtuple,Healthcare,Data Driven Intelligence Solutions Plat,Bengaluru,"Accel Partners, IDG",Private Equity,"1,90,00,000",nan
254,27/6/2018,Wow Express,Technology,E-commerce Logistics Platform,Mumbai,Undisclosed Existin,Private Equity,"45,00,000",nan
255,28/6/2018,Front Desk AI,Technology,An AI Platform Offering Automated Cu,Bengaluru,Speciale Invest & O,Seed/ Angel Fun,"11,00,000",nan
256,28/6/2018,Edureka,Ed-Tech,Online Education Platform,Bengaluru,Leo Capital,Seed/ Angel Fun,"20,00,000",nan
257,29/6/2018,Numeroseven,Technology,An Artificial Intelligence-Based Recruit,Kolkatta,Shiva Gunapu & Ot,Seed/ Angel Fun,N/A,nan
258,02/5/2018,OpenTap,Finance,Online Lending Platform,Chennai,Unknown High Net-,Seed / Angel Fu,"4,50,000",nan
259,02/5/2018,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,"B Capital, Internatio",Private Equity,"2,20,00,000",nan
260,03/5/2018,Disprz,IT,SaaS,Chennai,IL&FS Private Equit,Seed / Angel Fu,"25,00,000",nan
261,07/5/2018,PaisaDukan,Consumer Internet,P2P Lending Platform,Mumbai,N/A,Seed / Angel Fu,"2,25,000",nan
262,09/5/2018,i3sytems,Technology,AI product company For Health and Lif,Mumbai,"Unitus Ventures, Be",Seed / Angel Fu,"10,00,000",nan
263,11/5/2018,Earth Food,Consumer Internet,Agri-tech,Pune,Rairah Corporation,Seed / Angel Fu,"9,49,000",nan
264,14/5/2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh",Private Equity,"2,40,00,000",nan
265,16/5/2018,mfine,Healthcare,Doctor-Consultation App,Bengaluru,Prime Venture Partn,Private Equity,4200000,nan
266,21/5/2018,Rocketium,Technology,Online Video Creation Platform,Bengaluru,Blume ventures,Seed/ Angel Fun,"3,00,000",nan
267,21/5/2018,MilkBasket,Technology,Micro-Delivery Grocery Startup,Gurugram,"Kalaari Capital, Unil",Private Equity,"70,00,000",nan
268,22/5/2018,Vola,Finance,Micro Lending Platform,Bengaluru,Credika and unnam,Seed/ Angel Fun,"5,00,000",nan
269,22/5/2018,Cashkumar,Consumer Internet,P2P Lending Platform,Bengaluru,LetsVenture,Seed/ Angel Fun,"7,35,000",nan
270,23/5/2018,Edyoo,E-Commerce,Products For Shoolgoing Children,Bengaluru,RS Shanbag,Seed/ Angel Fun,"7,35,000",nan
271,23/5/2018,Aashiyaan,Finance,Housing Finance For Low-Income Fam,Kolkata,"Insistor, Oikocredit",Seed/ Angel Fun,"20,00,000",nan
272,24/5/2018,Smartivity,Ed-tech,Designer Of Toys and Learning Project,Delhi,"Ashish Kacholi, S C",Seed/ Angel Fun,"20,00,000",nan
273,24/5/2018,Bonphulapl,Clean-tech,Oxygen Optimiser Manufacturer,Delhi,Atul Gupta and Sau,Seed/ Angel Fun,"2,93,000",nan
274,27/5/2018,Acko,Consumer Internet,Online Insurance Platform,Mumbai,"Amazon, Ashish Dh",Seed/ Angel Fun,"1,20,00,000",nan
275,28/5/2018,HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,"Prashant Mehta, Mi",Seed/ Angel Fun,"2,00,000",nan
276,29/5/2018,Toffee,Consumer Internet,Online Insurance Platform,Gurugram,"Kalaari Capital, Om",Seed/ Angel Fun,"15,00,000",nan
277,29/5/2018,Tonetag,Technology,Mobile Payments Technology Platform,Bengaluru,Amazon Inc. and M,Private Equity,"80,00,000",nan
278,30/5/2018,Events High,Consumer Internet,Events and Activities Discovery Platfor,Bengaluru,Treebo,Private Equity,N/A,nan
279,30/5/2018,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,"IndusAge Partners,",Private Equity,"1,40,00,000",nan
280,31/5/2018,Credright,Consumer Internet,Lending Platform For SMEs,Hyderabad,Accion Venture Lab,Seed/ Angel Fun,"13,000,00",nan
281,02/4/2018,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,"Exfinity Venture, Sa",Private Equity,"20,00,000",nan
282,02/4/2018,Synctag,Technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures,Seed / Angel Fu,"3,07,600",nan
283,02/4/2018,Benepik,Technology,Enhanced Employee Engagement Plat,Gurugram,"Vishal Bali, Yogesh",Seed / Angel Fu,N/A,nan
284,02/4/2018,Finzy,Consumer Internet,Online Loan Matchmaking Platform,Bengaluru,N/A,Seed / Angel Fu,"13,00,000",nan
285,04/4/2018,Varthana,Finance,Loans and Services To Affordable Priv,Bengaluru,"ChrysCapital, Existi",Private Equity,"5,50,00,000",nan
286,05/4/2018,IndigoLearn,Ed-Tech,Online Education Platform,Hyderabad,"Maheshwar Peri, fo",Seed / Angel Fu,"1,50,000",nan
287,05/4/2018,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bangalore,"Accel Partners, Tige",Private Equity,"1,00,00,000",nan
288,09/4/2018,Kaleidofin,Fiinance,Digital Financial Services Platform,Chennai,Omidyar Network. B,Seed / Angel Fu,"28,00,000",nan
289,09/4/2018,Pipabella,Consumer Internet,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Seed / Angel Fu,"1,000,000,",nan
290,09/4/2018,Elemential,Technology,Blockchain Platform,Mumbai,"Matrix Partner, Amri",Seed / Angel Fu,N/A,nan
291,09/4/2018,Kriger Campus,Ed-Tech,Mobile-Based Education Network,Delhi,N/A,Seed / Angel Fu,"46,140",nan
292,10/4/2018,Loanzen,Finance,Digital Lending Platform In Logistics,Bengaluru,Kae Capital Manag,Seed / Angel Fu,N/A,nan
293,10/4/2018,TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,"Fundamentum, SAI",Private Equity,"1,20,00,000",nan
294,12/4/2018,Letsmd,Healthcare,Platform To Discover Healthcare Finan,Delhi,"SRI Capital, Waterb",Seed / Angel Fu,"10,00,000",nan
295,12/4/2018,AyeFinance,Finance,Online Lending Platform,Gurugram,BlueOrchard Financ,Debt Funding,"46,000,00",nan
296,13/4/2018,mintifi,Finance,Online Lending Platform,Mumbai,Lok Capital,Seed / Angel Fu,"20,00,000",nan
297,16/4/2018,icanstay,Consumer Internet,Online Platform For Luxury Hotel Stay,Delhi,Mr. Manoj Prasad,Seed / Angel Fu,"5,00,000",nan
298,16/4/2018,Pregbuddy,Healthcare,Connected Care App For Pregnant Wo,Bengaluru,"Rajan Anandan, Ma",Seed / Angel Fu,N/A,nan
299,18/4/2018,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,International Financ,Private Equity,"2,20,00,000",nan
300,19/4/2018,Lenskart,Consumer Internet,Online Eyewear Retailer,Faridabad,TR Capital,Private Equity,N/A,nan
301,19/4/2018,mamaearth,Healthcare,Online Baby care Products,Gurugram,Shilpa Shetty Kundr,Private Equity,N/A,nan
302,19/4/2018,Fyle Technologies,Technology,AI Based Expense Management Platfo,Bengaluru,Pravega Ventures a,Seed / Angel Fu,"11,000,00",nan
303,19/4/2018,True Balance,Technology,Mobile Balance Checking App,Gurugram,Line Ventures Corp,Private Equity,"2,30,00,000",nan
304,22/4/2018,Visit,Healthcare,AI Driven Health tech Platform,Delhi,"Biz Stone, Kunal Ba",Private Equity,N/A,nan
305,22/4/2018,Doxper,Healthcare,Digitized Health-Tech Solutions For Pr,Mumbai,Vidal Healthcare,Seed / Angel Fu,"19,00,000",nan
306,22/4/2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh",Private Equity,"1,10,00,000",nan
307,23/4/2018,Mihuru,Finance,Online Platform Providing Micro Loans,Mumbai,N/A,Seed / Angel Fu,"1,50,000",nan
308,23/4/2018,Capital Float,Finance,Online Lending Platform,Bengaluru,Amazon,Private Equity,"2,20,00,000",nan
309,25/4/2018,Trip shelf,Consumer Internet,Online Travel Marketplace,Delhi,"GEMS Advisory, Alo",Seed / Angel Fu,"2,46,000",nan
310,26/4/2018,POPxo,Technology,Women Focussed Digital Media Platfor,Delhi,"Neoplux, OPPO, ID",Private Equity,"55,00,000",nan
311,26/4/2018,RailYatri,Consumer Internet,Online Travel Ticketing Platform,Noida,"Omidyar Network, N",Private Equity,N/A,nan
312,27/4/2018,1mg,Consumer Internet,Online Pharmacy Store,Gurugram,"Sequoia Capital, Ma",Private Equity,"1,00,00,000",nan
313,29/4/2018,Rubique,Consumer Internet,Online Lending MarketPlace,Mumbai,"Emery Capital, Blac",Private Equity,N/A,nan
314,30/4/2018,Samco,Consumer Internet,Online Stock Broker,Mumbai,Bay Capital Investm,Private Equity,"75,00,000",nan
315,30/4/2018,MyLoanCare,Finance,B2C Online Loans Marketplace,Gurgaon,SAR Group,Seed / Angel Fu,"9,78,000",nan
316,01/3/2018,PharmEasy,Consumer Internet,Online Pharmacy Store,Mumbai,Bessemer Venture,Private Equity,N/A,nan
317,01/3/2018,Buddy4studdy,Consumer Internet,Online Scholarship Portal,Noida,CBA Capital and ot,Private Equity,"30,00,000",nan
318,01/3/2018,Urban Ladder,E-Commerce,Online Furniture Store,Bengaluru,"Sequoia Capital, SA",Private Equity,"1,20,00,000",nan
319,03/3/2018,Kuvera,Consumer Internet,Online Financial Planning,Bengaluru,Baskar Subramania,Seed / Angel Fu,"2,50,000",nan
320,04/3/2018,Gramophone,Technology,Agri-tech,Indore,InfoEdge,Seed/Angel Fun,"10,00,000",nan
321,05/3/2018,Wellthy,Healthcare,Therapeutics,Mumbai,"Ranjan Pai, Apoorv",Private Equity,"21,00,000",nan
322,05/3/2018,MedGenome,Healthcare,"Genetic Screening, DNA Diagnostics L",Bengaluru,"HDFC Life, HDFC A",Private Equity,"1,00,00,000",nan
323,05/3/2018,Finova Capital,Consumer Internet,Online Lending,Jaipur,Sequoia Capital,Private Equity,"60,00,000",nan
324,05/3/2018,Hotelogix,Technology,Cloud based Online Hotel Managemen,Noida,"Vertex Ventures, Ac",Private Equity,"50,00,000",nan
325,04/3/2018,Livehealth,Consumer Internet,Health Service Aggregator Platform,Pune,Nexus Venture Part,Seed / Angel Fu,"11,00,000",nan
326,06/3/2018,Ad2pro,Technology,"Creative Design, Brand, Media and Te",Chennai,Avendus Finance P,Debt Funding,"97,00,000",nan
327,06/3/2018,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon NV,Private Equity,"76,00,000",nan
328,08/3/2018,Pepperfry,Consumer Internet,Online Furniture Shopping Store,Mumbai,State Street Global,Private Equity,"3,84,00,000",nan
329,08/3/2018,Magicpin,Consumer Internet,Hyperlocal Discovery,Gurugram,Trifecta Capital,Debt Funding,"10,00,000",nan
330,12/3/2018,HealthCare,Consumer Internet,Healthcare Aggregator,Mumbai,HR Fund,Seed / Angel Fu,"10,00,000",nan
331,13/3/2018,PineLabs,Technology,Digital Payment Platform,Mumbai,"Actis, Altimeter Cap",Private Equity,"8,20,00,000",nan
332,14/3/2018,Stumagz,Consumer Internet,Online Communication and Collaborati,Hyderabad,Venkat Subramania,Seed / Angel Fu,N/A,nan
333,14/3/2018,AvailFinance,Consumer Internet,Online Lending Platform,Bengaluru,"Matrix Partners, Bh",Private Equity,"1,72,00,000",nan
334,15/3/2018,Grofers,Consumer Internet,Online Grocery Shop,Gurugram,"SoftBank, Tiger Glo",Private Equity,"6,20,00,000",nan
335,19/3/2018,Fingerlix,Consumer Internet,Ready To cook Food Solution,Mumbai,Alteria Capital,Debt Funding,"13,10,000",nan
336,19/3/2018,Karma Healthcare,Healthcare,Technology enabled equitable healthca,Udaipur,"1Crowd, Ankur Cap",Seed / Angel Fu,"5,00,000",nan
337,19/3/2018,Zappfresh,Food & Beverages,Online Raw Meat E-tailer,Gurugram,"Amit Burman, SIDB",Seed / Angel Fu,"30,00,000",nan
338,19/3/2018,CustomerSucessBox,Technology,Customer Success Software for B2B S,Gurugram,"Pi Ventures, Axilor",Seed / Angel Fu,"10,00,000",nan
339,20/3/2018,One Labs,Consumer Internet,Consumer Technology and Artificial Int,N/A,Micromax Informatic,Private Equity,N/A,nan
340,21/3/2018,GigIndia,Consumer Internet,Micro Jobs Provider For Students,Pune,"Jessica Wong, Hiro",Seed / Angel Fu,N/A,nan
341,22/3/2018,Chargebee,Technology,Subscription Billing & Recurring Paym,Chennai,Insight Venture Part,Private Equity,"1,80,00,000",nan
342,22/3/2018,i2i Funding,Consumer Internet,Online loan platform,Noida,SucSEED Venture,Seed / Angel Fu,"7,68,000",nan
343,22/3/2018,Slang Labs,Technology,Voice-based assistant platform,Bengaluru,Endiya Partners,Seed / Angel Fu,"12,40,000",nan
344,22/3/2018,UrbanPiper,Technology,Online ordering solution for restaurants,Bengaluru,"Kumar Vembu, Axil",Seed / Angel Fu,N/A,nan
345,26/3/2018,Cash Suvidha,Consumer Internet,Online loan platform,Delhi,"Initia Holdings,Vipin",Seed / Angel Fu,"10,00,000",nan
346,28/3/2018,Roadcast,Technology,Fleet management and asset monitorin,Delhi,N/A,Private Equity,"2,50,000",nan
347,28/3/2018,Smartcoin,Finance,Micro lending company,Bengaluru,Accion Venture Lab,Seed / Angel Fu,"20,00,000",nan
348,27/3/2018,The Print,Media,News portal,Delhi,Ratan Tata,Seed / Angel Fu,"5,35,000",nan
349,27/3/2018,DriveU,Technology,Professional Car Drivers Hiring App,Bengaluru,Amit Singhal and U,Private Equity,"30,00,000",nan
350,29/3/2018,Fynd,Consumer Internet,O2O fashion ecommerce platform,Mumbai,"Google, Kae Capita",Seed / Angel Fu,N/A,nan
351,01/2/2018,BigBasket,Consumer Internet,Online Grocery & Food Store,Bengaluru,"Alibaba, Helion Ven",Private Equity,"30,00,00,000",nan
352,01/2/2018,Zomato,Food and Beverages,Food Ordering and Restaurant Discov,Gurugram,Ant Financials,Private Equity,"20,00,00,000",nan
353,05/2/2018,Pratilipi,Publishing,E-Publishing,Bengaluru,Omidyar Network,Private Equity,"43,00,000",nan
354,05/2/2018,Asia Institute Of Medical Scienc,Healthcare,Super-specialty Hospital,Faridabad,CDC Group Plc,Private Equity,"2,10,00,000",nan
355,05/2/2018,CollegeDekho,Consumer Internet,Online platform for Higher Education S,Gurugram,"Man Capital LLP, Gi",Private Equity,"20,00,000",nan
356,06/2/2018,Foodmemories,Consumer Internet,Online Food Marketplace,Ahemdabad,"Bhavesh Manglani,",Seed funding,N/A,nan
357,06/2/2018,Healthi,Healthcare,Preventive Health Checkup,Bengaluru,Montane Ventures,Private Equity,"31,00,000",nan
358,07/2/2018,Swiggy,Food and Beverages,Online Food Delivery,Bengaluru,Naspers,Private Equity,"10,00,00,000",nan
359,08/2/2018,Shape,Healthcare,"Online Portal for Diet,fitness and Beau",Pune,Sandeep Mathur,Seed / Angle Fu,"10,00,00,000",nan
360,08/2/2018,Icertis,Consumer Internet,Enterprise Contract Management Platf,Pune,Meritech Capital Pa,Private Equity,"5,00,00,000",nan
361,09/2/2018,healthifyme,Healthcare,Mobile Weight Loss Coach,Bengaluru,Sistema Asia Fund,Private Equity,"1,20,00,000",nan
362,09/2/2018,MedTel,Healthcare,Virtual health clinics,Bhubaneswar,British and Indian G,Private Equity,N/A,nan
363,09/2/2018,Rupeek,Consumer Internet,Online Gold Loan,Bengaluru,"Accel Partners, Seq",Private Equity,"68,30,000",nan
364,09/2/2018,WebEngage,Technology,Marketing Cloud for consumer busines,Mumbai,Social Capital,Private Equity,N/A,nan
365,12/2/2018,Lendingkart,Finance,Online Lending Platform,Bengaluru,Fullerton Financial,Private Equity,"8,70,00,000",nan
366,12/2/2018,Wydr,Consumer Internet,B2B Marketplace,Gurugram,Bessemer Venture,Private Equity,N/A,nan
367,12/2/2018,Cashify,E-Commerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,"9,35,089",nan
368,13/2/2018,holachef,Food and Beverages,Online Food Delivery,Mumbai,Ashok Kumar Gajer,Seed / Angle Fu,"3,11,200",nan
369,13/2/2018,Awaaz De,Technology,Mobile Solutions for Social Impact,Ahmedabad,Tribe Impact Capita,Seed / Angle Fu,N/A,nan
370,13/2/2018,IMAX Program,Ed-Tech,Individualised Progressive Learning Pr,Bengaluru,Michael & Susan D,Private Equity,"1,35,00,000",nan
371,14/2/2018,Littlemore,Ed-Tech,Online Education Platform,Chennai,Kalpavriksh,Private Equity,"30,00,000",nan
372,14/2/2018,Toppr,Ed-Tech,Online Education Platform,Mumbai,Axis Capital Partner,Private Equity,"1,00,000",nan
373,14/2/2018,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,"Dewang Neralla, M",Private Equity,"5,00,000",nan
374,14/2/2018,MoneyOnMobile,Technology,mobile payment platform,Mumbai,S7 Group,Private Equity,"50,00,000",nan
375,15/2/2018,PetSutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hick,Seed / Angel Fu,"1,48,434",nan
376,15/2/2018,Infibeam,E-Commerce,Online Retailing,Ahemadabad,Network 18,Private Equity,"62,30,000",nan
377,16/2/2018,happay,Finance,Expense Management,Bengaluru,Sequoia and Jerry Y,Seed / Angel Fu,"2,50,000",nan
378,16/2/2018,Fincash,Finance,Fin-Tech,Mumbai,"Mohammed Khan,",Seed / Angel Fu,"1,50,000",nan
379,19/2/2018,AyeFinance,Finance,Online Lending,Gurugram,Hinduja Leyland Fin,Private Equity,"38,00,000",nan
380,20/2/2018,Agricxlab,Agriculture,Agri-tech,Mumbai,Ankur Capital,Seed / Angel Fu,"5,00,000",nan
381,21/2/2018,Udaan,E-Commerce,B2B Marketplace,Bengaluru,Lightspeed & Yuri M,Private Equity,"5,00,00,000",nan
